property_type,region,area_m2,price_usd,state,lat,lon
apartment,Northeast,206.0,374461.71,Bahia,-13.004878,-38.532276
apartment,Northeast,195.0,243400.11,Bahia,-13.002785,-38.519222
house,Northeast,110.0,93615.42,Bahia,-12.852844,-38.32711
apartment,Northeast,151.0,143543.65,Bahia,-12.991933,-38.465279
apartment,Northeast,125.0,90463.7,Bahia,-12.974986,-38.490906
apartment,Northeast,70.0,74892.34,Bahia,-13.000443,-38.45739
apartment,Northeast,184.0,374461.71,Bahia,-12.993533,-38.526047
apartment,Northeast,106.0,118579.54,Bahia,-13.009679,-38.486305
apartment,Northeast,92.0,82693.62,Bahia,-13.010818,-38.48336
apartment,Northeast,115.0,177869.31,Bahia,-13.004092,-38.5047
apartment,Northeast,78.0,96735.94,Bahia,-13.010534,-38.485542
apartment,Northeast,71.0,84253.88,Bahia,-12.992462,-38.444553
apartment,Northeast,59.0,113898.77,Bahia,-12.992462,-38.444553
apartment,Northeast,142.0,115146.97,Bahia,-12.992462,-38.444553
apartment,Northeast,82.0,81133.37,Bahia,-12.992462,-38.444553
house,Northeast,250.0,374461.71,Bahia,-12.991933,-38.465279
apartment,Northeast,95.0,187230.85,Bahia,-12.991933,-38.465279
apartment,Northeast,90.0,184110.34,Bahia,-13.00525,-38.516327
apartment,Northeast,215.0,374461.71,Bahia,-13.002785,-38.519222
apartment,Northeast,54.0,92679.27,Bahia,-12.985579,-38.470348
apartment,Northeast,78.0,134182.11,Bahia,-12.985591,-38.469273
apartment,Northeast,186.0,411471.01,Bahia,-13.009664,-38.486431
apartment,Northeast,220.0,343256.56,Bahia,-13.009679,-38.486305
apartment,Northeast,203.0,265243.71,Bahia,-13.000443,-38.45739
apartment,Northeast,114.0,202833.42,Bahia,-13.000443,-38.45739
apartment,Northeast,180.0,265243.71,Bahia,-13.000443,-38.45739
apartment,Northeast,235.0,165387.25,Bahia,-13.000443,-38.45739
apartment,Northeast,155.0,310491.16,Bahia,-12.993305,-38.45739
apartment,Northeast,155.0,296448.85,Bahia,-12.993305,-38.45739
apartment,Northeast,195.0,452474.56,Bahia,-12.985207,-38.456074
apartment,Northeast,127.0,180989.82,Bahia,-12.985207,-38.456074
apartment,Northeast,128.0,152905.19,Bahia,-12.985207,-38.456074
apartment,Northeast,186.0,234038.56,Bahia,-12.985207,-38.456074
apartment,Northeast,212.0,415028.39,Bahia,-12.94999,-38.391624
apartment,Northeast,98.0,227797.54,Bahia,-13.004092,-38.5047
apartment,Northeast,55.0,140423.14,Bahia,-13.004092,-38.5047
apartment,Northeast,168.0,312051.42,Bahia,-12.993533,-38.526047
apartment,Northeast,180.0,277725.76,Bahia,-12.964468,-38.417938
apartment,Northeast,75.0,85703.4,Bahia,-12.970389,-38.424129
apartment,Northeast,116.0,208450.35,Bahia,-12.951526,-38.392464
apartment,Northeast,143.0,253385.75,Bahia,-12.951526,-38.392464
apartment,Northeast,210.0,327653.99,Bahia,-12.96049,-38.405239
apartment,Northeast,139.0,234038.56,Bahia,-12.96049,-38.405239
apartment,Northeast,75.0,131061.59,Bahia,-12.983234,-38.443928
apartment,Northeast,128.0,234038.56,Bahia,-12.984901,-38.439594
apartment,Northeast,59.0,145790.42,Bahia,-12.98223,-38.43898
apartment,Northeast,70.0,126880.1,Bahia,-12.981397,-38.441444
apartment,Northeast,90.0,131061.59,Bahia,-13.002345,-38.528343
apartment,Northeast,170.0,202833.42,Bahia,-12.993533,-38.526047
apartment,Northeast,230.0,405666.85,Bahia,-12.993533,-38.526047
apartment,Northeast,100.0,227797.54,Bahia,-12.992472,-38.52298
apartment,Northeast,185.0,212194.96,Bahia,-12.992102,-38.521461
apartment,Northeast,67.0,131061.59,Bahia,-12.982599,-38.499725
apartment,Northeast,103.0,186669.16,Bahia,-12.998506,-38.52309
apartment,Northeast,122.0,249641.14,Bahia,-12.998506,-38.52309
apartment,Northeast,230.0,296448.85,Bahia,-12.998506,-38.52309
apartment,Northeast,166.0,187230.85,Bahia,-12.998506,-38.52309
apartment,Northeast,102.0,265243.71,Bahia,-12.998506,-38.52309
apartment,Northeast,164.0,414404.29,Bahia,-12.998506,-38.52309
apartment,Northeast,120.0,98296.19,Bahia,-12.998506,-38.52309
apartment,Northeast,89.0,160706.48,Bahia,-12.970966,-38.436806
apartment,Northeast,109.0,146664.17,Bahia,-12.968704,-38.435516
apartment,Northeast,71.0,106097.48,Bahia,-12.993493,-38.477962
apartment,Northeast,100.0,109217.99,Bahia,-12.993493,-38.477962
apartment,Northeast,100.0,146664.17,Bahia,-12.99183,-38.477451
apartment,Northeast,156.0,390064.28,Bahia,-13.002883,-38.486099
apartment,Northeast,140.0,234038.56,Bahia,-12.994513,-38.479004
house,Northeast,73.0,81133.37,Bahia,-12.852844,-38.32711
apartment,Northeast,71.0,81133.37,Bahia,-12.852844,-38.32711
apartment,Northeast,71.0,78012.85,Bahia,-12.852844,-38.32711
apartment,Northeast,143.0,296448.85,Bahia,-12.941992,-38.403465
apartment,Northeast,158.0,180989.82,Bahia,-12.941992,-38.403465
apartment,Northeast,75.0,77388.75,Bahia,-12.999527,-38.46265
apartment,Northeast,128.0,235843.06,Bahia,-12.98223,-38.43898
house,Northeast,156.0,193471.88,Bahia,-12.852844,-38.32711
house,Northeast,170.0,171628.28,Bahia,-12.852844,-38.32711
apartment,Northeast,136.0,109217.99,Bahia,-12.852844,-38.32711
apartment,Northeast,68.0,101416.71,Bahia,-12.98516,-38.482758
apartment,Northeast,71.0,121700.05,Bahia,-13.001169,-38.49419
apartment,Northeast,165.0,343256.56,Bahia,-12.993305,-38.45739
apartment,Northeast,71.0,170068.02,Bahia,-13.004092,-38.5047
apartment,Northeast,72.0,118579.54,Bahia,-12.983234,-38.443928
apartment,Northeast,83.0,132621.85,Bahia,-12.937969,-38.381538
apartment,Northeast,67.0,99856.45,Bahia,-12.937969,-38.381538
apartment,Northeast,70.0,102976.97,Bahia,-12.974941,-38.440117
apartment,Northeast,67.0,102976.97,Bahia,-12.931565,-38.40873
apartment,Northeast,156.0,321412.96,Bahia,-13.002883,-38.486099
apartment,Northeast,54.0,93615.42,Bahia,-12.941992,-38.403465
apartment,Northeast,195.0,390064.28,Bahia,-12.950598,-38.40873
apartment,Northeast,142.0,262123.19,Bahia,-12.950598,-38.40873
apartment,Northeast,137.0,196592.39,Bahia,-12.941992,-38.403465
apartment,Northeast,111.0,174748.79,Bahia,-12.985207,-38.456074
house,Northeast,120.0,121700.05,Bahia,-12.852844,-38.32711
apartment,Northeast,210.0,246520.62,Bahia,-12.993533,-38.526047
apartment,Northeast,98.0,174748.79,Bahia,-12.993305,-38.45739
apartment,Northeast,198.0,218435.99,Bahia,-12.985207,-38.456074
house,Northeast,170.0,93615.42,Bahia,-12.930742,-38.365299
apartment,Northeast,230.0,464956.62,Bahia,-13.002785,-38.519222
apartment,Northeast,73.0,104537.22,Bahia,-12.985207,-38.456074
apartment,Northeast,200.0,187230.85,Bahia,-12.958966,-38.405651
apartment,Northeast,74.0,101416.71,Bahia,-12.852844,-38.32711
apartment,Northeast,142.0,274605.25,Bahia,-12.950598,-38.40873
apartment,Northeast,77.0,109217.99,Bahia,-13.001876,-38.501404
apartment,Northeast,210.0,238719.34,Bahia,-13.000443,-38.45739
apartment,Northeast,105.0,136490.6,Bahia,-12.998506,-38.52309
apartment,Northeast,186.0,405666.85,Bahia,-13.009664,-38.486431
apartment,Northeast,128.0,140423.14,Bahia,-13.002345,-38.528343
apartment,Northeast,139.0,249641.14,Bahia,-12.993305,-38.45739
apartment,Northeast,182.0,436871.99,Bahia,-13.004878,-38.532276
apartment,Northeast,204.0,452474.56,Bahia,-13.002883,-38.486099
apartment,Northeast,204.0,468077.13,Bahia,-13.002883,-38.486099
apartment,Northeast,82.0,131061.59,Bahia,-12.990577,-38.510612
apartment,Northeast,110.0,93615.42,Bahia,-12.992462,-38.444553
apartment,Northeast,106.0,185670.59,Bahia,-12.9371316,-38.3556842
apartment,Northeast,63.0,109217.99,Bahia,-12.974083,-38.431091
apartment,Northeast,67.0,112338.51,Bahia,-12.971625,-38.486305
apartment,Northeast,88.0,121700.05,Bahia,-12.985591,-38.469273
apartment,Northeast,133.0,199182.42,Bahia,-12.952238,-38.395287
apartment,Northeast,67.0,106097.48,Bahia,-12.937969,-38.381538
apartment,Northeast,82.0,127941.08,Bahia,-12.937969,-38.381538
apartment,Northeast,110.0,215315.48,Bahia,-12.993305,-38.45739
apartment,Northeast,112.0,196592.39,Bahia,-12.993533,-38.526047
apartment,Northeast,53.0,90800.72,Bahia,-12.985591,-38.469273
apartment,Northeast,60.0,96735.94,Bahia,-13.007857,-38.498463
house,Northeast,200.0,249641.14,Bahia,-12.968771,-38.42057
